Thu Jan 29 20:13:20 2026	Baidu (STEAM_0:1:87450417) has joined the game
Thu Jan 29 20:23:21 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:23:27 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:23:29 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:23:38 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:24:42 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:25:19 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:25:36 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:25:50 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:25:53 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:25:54 2026	Saitaro (STEAM_0:0:505916339): 
Thu Jan 29 20:26:00 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:26:22 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:26:37 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:27:04 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:27:13 2026	Baidu (STEAM_0:1:87450417): !menu baidu
Thu Jan 29 20:27:15 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:27:45 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:27:59 2026	Baidu (STEAM_0:1:87450417): 
Thu Jan 29 20:28:27 2026	Baidu (STEAM_0:1:87450417): 
